id_query,id_bruto_hit,id_limpo_hit,id_uniprot_hit,identidade,cobertura_query,tamanho_align,evalue,bitscore,info_hit
sp|Q582G3|Q582G3_9TRYP,XP_001351479.1,XP_001351479.1,,51.056,84,284,2.07e-105,327.0,XP_001351479.1 bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum 3D7]
NP_006316.1,XP_001347854.1,XP_001347854.1,,70.588,94,204,7.54e-109,310.0,XP_001347854.1 GTP-binding nuclear protein RAN/TC4 [Plasmodium falciparum 3D7]
AAH19268.2,XP_001348416.1,XP_001348416.1,,49.508,87,305,5.5e-103,307.0,XP_001348416.1 protein arginine N-methyltransferase 1 [Plasmodium falciparum 3D7]
NP_002559.2,XP_001350640.1,XP_001350640.1,,56.746,75,252,9.65e-92,301.0,"XP_001350640.1 polyadenylate-binding protein 1, putative [Plasmodium falciparum 3D7]"
NP_997461.1,XP_001352213.1,XP_001352213.1,,55.0,85,220,4.84e-86,258.0,XP_001352213.1 cAMP-dependent protein kinase catalytic subunit [Plasmodium falciparum 3D7]
NP_002736.3,XP_001348468.1,XP_001348468.1,,43.182,84,308,2.61e-77,253.0,XP_001348468.1 mitogen-activated protein kinase 1 [Plasmodium falciparum 3D7]
NP_001069826.1,XP_001350628.1,XP_001350628.1,,41.463,74,287,6.359999999999999e-68,219.0,XP_001350628.1 cAMP-dependent protein kinase regulatory subunit [Plasmodium falciparum 3D7]
NP_002727.2,XP_001350628.1,XP_001350628.1,,38.047,71,297,6.1e-60,199.0,XP_001350628.1 cAMP-dependent protein kinase regulatory subunit [Plasmodium falciparum 3D7]
NP_079406.4,XP_966222.1,XP_966222.1,,31.343,96,469,7.89e-49,179.0,XP_966222.1 hexokinase [Plasmodium falciparum 3D7]
NP_015090.1,XP_001351750.1,XP_001351750.1,,53.846,87,143,3.6e-52,162.0,XP_001351750.1 V-type proton ATPase 16 kDa proteolipid subunit [Plasmodium falciparum 3D7]
AAC46381.1,XP_001351149.1,XP_001351149.1,,45.93,87,172,1.99e-48,160.0,XP_001351149.1 ATP-dependent Clp protease proteolytic subunit [Plasmodium falciparum 3D7]
pdb|3I06|A,XP_001347836.1,XP_001347836.1,,40.777,90,206,7.99e-43,148.0,XP_001347836.1 cysteine proteinase falcipain 2a [Plasmodium falciparum 3D7]
NP_003271.1,XP_001348497.1,XP_001348497.1,,50.336,93,149,2.96e-46,146.0,XP_001348497.1 calmodulin [Plasmodium falciparum 3D7]
sp|Q9NXA8.2|SIR5_HUMAN,XP_001350011.1,XP_001350011.1,,30.62,82,258,7.35e-38,134.0,XP_001350011.1 transcriptional regulatory protein sir2a [Plasmodium falciparum 3D7]
sp|P48426.2|PI42A_HUMAN,XP_001351035.1,XP_001351035.1,,30.539,77,334,2.23e-30,122.0,XP_001351035.1 phosphatidylinositol-4-phosphate 5-kinase [Plasmodium falciparum 3D7]
NP_414973.1,XP_001348320.1,XP_001348320.1,,35.762,70,151,4.9699999999999995e-24,107.0,"XP_001348320.1 ATP-dependent protease, putative [Plasmodium falciparum 3D7]"
NP_000851.2,XP_001352100.1,XP_001352100.1,,32.673,72,202,5.629999999999999e-23,94.0,XP_001352100.1 3-oxoacyl-[acyl-carrier-protein] reductase [Plasmodium falciparum 3D7]
NP_003960.1,XP_001350839.1,XP_001350839.1,,38.686,75,137,3.23e-25,94.0,"XP_001350839.1 NEDD8-conjugating enzyme UBC12, putative [Plasmodium falciparum 3D7]"
NP_000918.2,XP_001350508.1,XP_001350508.1,,38.983,81,118,6.52e-18,88.2,"XP_001350508.1 ABC transporter B family member 7, putative [Plasmodium falciparum 3D7]"
AAC50996.1,XP_001351616.1,XP_001351616.1,,46.341,81,82,3.84e-23,84.0,XP_001351616.1 small ubiquitin-related modifier [Plasmodium falciparum 3D7]
AAH10859.1,XP_001348868.1,XP_001348868.1,,34.021,83,97,5.38e-15,75.9,XP_001348868.1 protein disulfide-isomerase [Plasmodium falciparum 3D7]
AAH09524.1,XP_001350391.1,XP_001350391.1,,35.106,99,94,4.15e-16,69.7,"XP_001350391.1 26S proteasome regulatory subunit RPN11, putative [Plasmodium falciparum 3D7]"
