id_query,id_bruto_hit,id_limpo_hit,id_uniprot_hit,identidade,cobertura_query,tamanho_align,evalue,bitscore,info_hit
CAG38796.1,XP_001347762.2,XP_001347762.2,,62.691,96,327,1.93e-152,430.0,XP_001347762.2 DNA repair protein RAD51 [Plasmodium falciparum 3D7]
AAC35244.2,XP_002808951.1,XP_002808951.1,,45.509,97,501,7.85e-143,422.0,XP_002808951.1 thioredoxin reductase [Plasmodium falciparum 3D7]
gi|578162,XP_001348772.1,XP_001348772.1,,60.843,99,332,2.14e-147,417.0,XP_001348772.1 glyceraldehyde-3-phosphate dehydrogenase [Plasmodium falciparum 3D7]
CAA52898.2,XP_966251.1,XP_966251.1,,45.257,99,506,1.4699999999999998e-140,412.0,XP_966251.1 pyruvate kinase [Plasmodium falciparum 3D7]
NP_002645.3,XP_966251.1,XP_966251.1,,44.533,94,503,9.78e-136,401.0,XP_966251.1 pyruvate kinase [Plasmodium falciparum 3D7]
BAA02406.1,XP_966251.1,XP_966251.1,,44.937,80,474,1.62e-133,398.0,XP_966251.1 pyruvate kinase [Plasmodium falciparum 3D7]
AAH00750.4,XP_001350266.1,XP_001350266.1,,44.988,88,429,1.09e-131,394.0,XP_001350266.1 serine/threonine protein phosphatase 5 [Plasmodium falciparum 3D7]
NP_002084.2,XP_001351197.1,XP_001351197.1,,48.492,91,398,1.1800000000000001e-132,387.0,XP_001351197.1 glycogen synthase kinase 3 [Plasmodium falciparum 3D7]
NP_063937.2,XP_001351197.1,XP_001351197.1,,52.059,70,340,1.11e-128,379.0,XP_001351197.1 glycogen synthase kinase 3 [Plasmodium falciparum 3D7]
NP_005680.1,XP_001348629.1,XP_001348629.1,,34.345,72,626,1.14e-114,372.0,XP_001348629.1 multidrug resistance protein 2 [Plasmodium falciparum 3D7]
CAG33322.1,XP_001350280.1,XP_001350280.1,,60.069,99,288,1.6600000000000002e-125,358.0,XP_001350280.1 protein kinase 5 [Plasmodium falciparum 3D7]
NP_002256.2,XP_001349372.1,XP_001349372.1,,30.455,95,857,7.15e-109,353.0,"XP_001349372.1 importin subunit beta, putative [Plasmodium falciparum 3D7]"
NP_004102.1,XP_001351399.1,XP_001351399.1,,44.836,99,397,1.0500000000000001e-116,352.0,XP_001351399.1 flap endonuclease 1 [Plasmodium falciparum 3D7]
NP_002721.1,XP_001352213.1,XP_001352213.1,,50.314,90,318,2.76e-115,336.0,XP_001352213.1 cAMP-dependent protein kinase catalytic subunit [Plasmodium falciparum 3D7]
XP_001218773.1,XP_001352096.1,XP_001352096.1,,43.548,95,434,1.9800000000000002e-110,330.0,XP_001352096.1 phosphoglycerate kinase [Plasmodium falciparum 3D7]
NP_035230.1,XP_001352213.1,XP_001352213.1,,50.489,87,307,8.14e-113,330.0,XP_001352213.1 cAMP-dependent protein kinase catalytic subunit [Plasmodium falciparum 3D7]
NP_006316.1,XP_001347854.1,XP_001347854.1,,70.588,94,204,7.54e-109,310.0,XP_001347854.1 GTP-binding nuclear protein RAN/TC4 [Plasmodium falciparum 3D7]
AAH19268.2,XP_001348416.1,XP_001348416.1,,49.508,87,305,5.5e-103,307.0,XP_001348416.1 protein arginine N-methyltransferase 1 [Plasmodium falciparum 3D7]
NP_002559.2,XP_001350640.1,XP_001350640.1,,56.746,75,252,9.65e-92,301.0,"XP_001350640.1 polyadenylate-binding protein 1, putative [Plasmodium falciparum 3D7]"
NP_777239.1,XP_002808856.1,XP_002808856.1,,61.181,94,237,2.36e-104,301.0,XP_002808856.1 14-3-3 protein [Plasmodium falciparum 3D7]
sp|P61105.1|RAB2A_CANLF,XP_001350706.1,XP_001350706.1,,68.868,99,212,7.529999999999999e-106,301.0,XP_001350706.1 ras-related protein Rab-2 [Plasmodium falciparum 3D7]
AAH18648.1,XP_001350716.2,XP_001350716.2,,37.897,94,504,6.589999999999999e-95,296.0,"XP_001350716.2 dihydrolipoyl dehydrogenase, mitochondrial [Plasmodium falciparum 3D7]"
AAA30890.1,XP_002808912.1,XP_002808912.1,,67.633,99,207,6.76e-102,291.0,XP_002808912.1 ras-related protein RAB7 [Plasmodium falciparum 3D7]
NP_001136020.1,XP_001349480.1,XP_001349480.1,,38.404,76,401,2.9e-82,283.0,"XP_001349480.1 DNA repair and recombination protein RAD54, putative [Plasmodium falciparum 3D7]"
NP_036611.2,XP_002808856.1,XP_002808856.1,,58.333,95,240,9.78e-96,280.0,XP_002808856.1 14-3-3 protein [Plasmodium falciparum 3D7]
NP_997461.1,XP_001352213.1,XP_001352213.1,,55.0,85,220,4.84e-86,258.0,XP_001352213.1 cAMP-dependent protein kinase catalytic subunit [Plasmodium falciparum 3D7]
NP_002736.3,XP_001348468.1,XP_001348468.1,,43.182,84,308,2.61e-77,253.0,XP_001348468.1 mitogen-activated protein kinase 1 [Plasmodium falciparum 3D7]
NP_001069826.1,XP_001350628.1,XP_001350628.1,,41.463,74,287,6.359999999999999e-68,219.0,XP_001350628.1 cAMP-dependent protein kinase regulatory subunit [Plasmodium falciparum 3D7]
NP_003339.1,XP_001351827.1,XP_001351827.1,,67.333,99,150,1.44e-73,215.0,"XP_001351827.1 ubiquitin-conjugating enzyme E2 N, putative [Plasmodium falciparum 3D7]"
NP_004242.1,XP_002808912.1,XP_002808912.1,,47.525,99,202,2.2599999999999997e-68,206.0,XP_002808912.1 ras-related protein RAB7 [Plasmodium falciparum 3D7]
EAN77629.1,XP_966222.1,XP_966222.1,,31.263,92,467,5.24e-60,202.0,XP_966222.1 hexokinase [Plasmodium falciparum 3D7]
NP_002727.2,XP_001350628.1,XP_001350628.1,,38.047,71,297,6.1e-60,199.0,XP_001350628.1 cAMP-dependent protein kinase regulatory subunit [Plasmodium falciparum 3D7]
NP_003336.1,XP_001352023.1,XP_001352023.1,,62.581,97,155,5.14e-67,199.0,XP_001352023.1 SUMO-conjugating enzyme UBC9 [Plasmodium falciparum 3D7]
NP_079406.4,XP_966222.1,XP_966222.1,,31.343,96,469,7.89e-49,179.0,XP_966222.1 hexokinase [Plasmodium falciparum 3D7]
NP_001903.1,XP_001347833.1,XP_001347833.1,,34.347,89,329,2.18e-50,173.0,XP_001347833.1 cysteine proteinase falcipain 3 [Plasmodium falciparum 3D7]
AAD17299.1,XP_001348542.1,XP_001348542.1,,42.781,100,187,1.1299999999999998e-54,170.0,XP_001348542.1 thioredoxin peroxidase 1 [Plasmodium falciparum 3D7]
CAA84846.1,XP_966131.2,XP_966131.2,,53.216,90,171,5.249999999999999e-52,163.0,XP_966131.2 60S ribosomal protein L19 [Plasmodium falciparum 3D7]
NP_015090.1,XP_001351750.1,XP_001351750.1,,53.846,87,143,3.6e-52,162.0,XP_001351750.1 V-type proton ATPase 16 kDa proteolipid subunit [Plasmodium falciparum 3D7]
NP_004070.3,XP_001347833.1,XP_001347833.1,,32.727,91,330,5.61e-46,161.0,XP_001347833.1 cysteine proteinase falcipain 3 [Plasmodium falciparum 3D7]
AAC46381.1,XP_001351149.1,XP_001351149.1,,45.93,87,172,1.99e-48,160.0,XP_001351149.1 ATP-dependent Clp protease proteolytic subunit [Plasmodium falciparum 3D7]
pdb|3I06|A,XP_001347836.1,XP_001347836.1,,40.777,90,206,7.99e-43,148.0,XP_001347836.1 cysteine proteinase falcipain 2a [Plasmodium falciparum 3D7]
NP_003271.1,XP_001348497.1,XP_001348497.1,,50.336,93,149,2.96e-46,146.0,XP_001348497.1 calmodulin [Plasmodium falciparum 3D7]
sp|Q9NXA8.2|SIR5_HUMAN,XP_001350011.1,XP_001350011.1,,30.62,82,258,7.35e-38,134.0,XP_001350011.1 transcriptional regulatory protein sir2a [Plasmodium falciparum 3D7]
CAA97545.1,XP_001348280.1,XP_001348280.1,,35.632,70,174,3.44e-32,122.0,"XP_001348280.1 ribosome maturation protein SBDS, putative [Plasmodium falciparum 3D7]"
sp|P48426.2|PI42A_HUMAN,XP_001351035.1,XP_001351035.1,,30.539,77,334,2.23e-30,122.0,XP_001351035.1 phosphatidylinositol-4-phosphate 5-kinase [Plasmodium falciparum 3D7]
CAI16307.1,XP_001347832.1,XP_001347832.1,,36.181,82,199,4.36e-30,114.0,XP_001347832.1 cysteine proteinase falcipain 2b [Plasmodium falciparum 3D7]
NP_414973.1,XP_001348320.1,XP_001348320.1,,35.762,70,151,4.9699999999999995e-24,107.0,"XP_001348320.1 ATP-dependent protease, putative [Plasmodium falciparum 3D7]"
AAD14062.3,XP_001348998.1,XP_001348998.1,,69.118,100,68,3.3e-25,94.7,XP_001348998.1 heat shock protein 90 [Plasmodium falciparum 3D7]
NP_003960.1,XP_001350839.1,XP_001350839.1,,38.686,75,137,3.23e-25,94.0,"XP_001350839.1 NEDD8-conjugating enzyme UBC12, putative [Plasmodium falciparum 3D7]"
NP_000851.2,XP_001352100.1,XP_001352100.1,,32.673,72,202,5.629999999999999e-23,94.0,XP_001352100.1 3-oxoacyl-[acyl-carrier-protein] reductase [Plasmodium falciparum 3D7]
NP_000918.2,XP_001350508.1,XP_001350508.1,,38.983,81,118,6.52e-18,88.2,"XP_001350508.1 ABC transporter B family member 7, putative [Plasmodium falciparum 3D7]"
AAC50996.1,XP_001351616.1,XP_001351616.1,,46.341,81,82,3.84e-23,84.0,XP_001351616.1 small ubiquitin-related modifier [Plasmodium falciparum 3D7]
CAB53579.5,XP_001348128.2,XP_001348128.2,,30.994,88,171,3.6e-19,79.7,XP_001348128.2 ras-related protein Rab-6 [Plasmodium falciparum 3D7]
AAH10859.1,XP_001348868.1,XP_001348868.1,,34.021,83,97,5.38e-15,75.9,XP_001348868.1 protein disulfide-isomerase [Plasmodium falciparum 3D7]
CAI19851.1,XP_001347854.1,XP_001347854.1,,33.051,86,118,1.04e-17,74.3,XP_001347854.1 GTP-binding nuclear protein RAN/TC4 [Plasmodium falciparum 3D7]
AAH09524.1,XP_001350391.1,XP_001350391.1,,35.106,99,94,4.15e-16,69.7,"XP_001350391.1 26S proteasome regulatory subunit RPN11, putative [Plasmodium falciparum 3D7]"
AAH32261.1,XP_002808813.1,XP_002808813.1,,40.0,86,80,2.98e-16,69.3,"XP_002808813.1 alpha/beta hydrolase, putative [Plasmodium falciparum 3D7]"
NP_852610.1,XP_001347478.1,XP_001347478.1,,32.0,93,125,5.97e-16,67.4,XP_001347478.1 autophagy-related protein 8 [Plasmodium falciparum 3D7]
CAA54142.1,XP_001350357.1,XP_001350357.1,,38.889,83,90,1.78e-08,54.7,"XP_001350357.1 aldehyde reductase, putative [Plasmodium falciparum 3D7]"
DAA06693.1,XP_001350495.1,XP_001350495.1,,38.462,70,65,2.07e-11,53.1,"XP_001350495.1 mitochondrial import inner membrane translocase subunit TIM10, putative [Plasmodium falciparum 3D7]"
