protid,Protein_Accession,Taxonomy
"methionyl-tRNA synthetase, putative (Trypanosoma brucei brucei TREU927)",XP_822407,Trypanosoma brucei brucei TREU927
enterobactin synthase subunit E (Acinetobacter baumannii ATCC 17978),YP_001085402,Acinetobacter baumannii ATCC 17978
toxin B (Clostridioides difficile 630),YP_001087135,Clostridioides difficile 630
botulinum neurotoxin type A (Clostridium botulinum A str. ATCC 3502),YP_001253342,Clostridium botulinum A str. ATCC 3502
MarR family regulatory protein (Staphylococcus aureus subsp. aureus str. Newman),YP_001331689,Staphylococcus aureus subsp. aureus str. Newman
protein PvdQ (Pseudomonas aeruginosa LESB58),YP_002440506,Pseudomonas aeruginosa LESB58
gamma-glutamyltranspeptidase (plasmid) (Bacillus anthracis str. 'Ames Ancestor'),YP_016573,Bacillus anthracis str. 'Ames Ancestor'
putative polyprotein (Crimean-Congo hemorrhagic fever orthonairovirus),YP_325663,Crimean-Congo hemorrhagic fever orthonairovirus
"botulinum neurotoxin type F, BoNT/F (Clostridium botulinum Bf)",ZP_02619427,Clostridium botulinum Bf
"FMDV polyprotein, partial (Foot-and-mouth disease virus)",AAA42670,Foot-and-mouth disease virus
,578162,
MULTISPECIES: oxygen response regulator transcription factor FixJ (Burkholderia),WP_006493245,Burkholderia
oxygen sensor histidine kinase FixL (Burkholderia dolosa),WP_045552426,Burkholderia dolosa
