protid,Protein_Accession,Taxonomy
Cytochrome P450 2D6 (human),P10635,Homo sapiens (human)
Phenylethanolamine N-methyltransferase (human),P11086,Homo sapiens (human)
"Solute carrier family 2, facilitated glucose transporter member 1 (human)",P11166,Homo sapiens (human)
Muscarinic acetylcholine receptor M1 (human),P11229,Homo sapiens (human)
Glucose-6-phosphate 1-dehydrogenase (human),P11413,Homo sapiens (human)
Cytochrome P450 2A6 (human),P11509,Homo sapiens (human)
Cytochrome P450 2C9 (human),P11712,Homo sapiens (human)
Polyunsaturated fatty acid lipoxygenase ALOX15 (rabbit),P12530,Oryctolagus cuniculus (rabbit)
Angiotensin-converting enzyme (rabbit),P12822,Oryctolagus cuniculus (rabbit)
Nucleoprotein (Lassa virus Josiah),P13699,Lassa virus Josiah
Bifunctional dihydrofolate reductase-thymidylate synthase (Plasmodium falciparum K1),P13922,Plasmodium falciparum K1
Beta-3 adrenergic receptor (human),P13945,Homo sapiens (human)
Folate receptor beta (human),P14207,Homo sapiens (human)
D(2) dopamine receptor (human),P14416,Homo sapiens (human)
Matrix metalloproteinase-9 (human),P14780,Homo sapiens (human)
Insulin receptor (Norway rat),P15127,Rattus norvegicus (Norway rat)
Androgen receptor (Norway rat),P15207,Rattus norvegicus (Norway rat)
Folate receptor alpha (human),P15328,Homo sapiens (human)
Alpha-1B adrenergic receptor (Norway rat),P15823,Rattus norvegicus (Norway rat)
Dihydrofolate reductase (Pneumocystis carinii),P16184,Pneumocystis carinii
Protein kinase C alpha type (human),P17252,Homo sapiens (human)
Vascular endothelial growth factor receptor 1 (human),P17948,Homo sapiens (human)
Polyunsaturated fatty acid lipoxygenase ALOX12 (human),P18054,Homo sapiens (human)
Alpha-2B adrenergic receptor (human),P18089,Homo sapiens (human)
Alpha-2C adrenergic receptor (human),P18825,Homo sapiens (human)
5-hydroxytryptamine receptor 1A (Norway rat),P19327,Rattus norvegicus (Norway rat)
Muscarinic acetylcholine receptor M3 (human),P20309,Homo sapiens (human)
Glycine receptor subunit beta (Norway rat),P20781,Rattus norvegicus (Norway rat)
Amine oxidase [flavin-containing] A (human),P21397,Homo sapiens (human)
Substance-K receptor (human),P21452,Homo sapiens (human)
Cannabinoid receptor 1 (human),P21554,Homo sapiens (human)
Nucleoprotein (Rift valley fever virus (STRAIN ZH-548 M12)),P21700,Rift valley fever virus (STRAIN ZH-548 M12)
D(1A) dopamine receptor (human),P21728,Homo sapiens (human)
Thromboxane A2 receptor (human),P21731,Homo sapiens (human)
D(4) dopamine receptor (human),P21917,Homo sapiens (human)
Catechol O-methyltransferase (human),P21964,Homo sapiens (human)
Voltage-dependent L-type calcium channel subunit alpha-1C (Norway rat),P22002,Rattus norvegicus (Norway rat)
Trifunctional purine biosynthetic protein adenosine-3 (human),P22102,Homo sapiens (human)
Acetylcholinesterase (human),P22303,Homo sapiens (human)
Glycine receptor subunit alpha-2 (Norway rat),P22771,Rattus norvegicus (Norway rat)
Prostaglandin G/H synthase 1 (human),P23219,Homo sapiens (human)
Tyrosine-protein kinase JAK1 (human),P23458,Homo sapiens (human)
Sodium-dependent noradrenaline transporter (human),P23975,Homo sapiens (human)
Glycine receptor subunit alpha-3 (Norway rat),P24524,Rattus norvegicus (Norway rat)
Endothelin receptor type B (human),P24530,Homo sapiens (human)
Thromboxane-A synthase (human),P24557,Homo sapiens (human)
Low molecular weight phosphotyrosine protein phosphatase (human),P24666,Homo sapiens (human)
Histamine H2 receptor (human),P25021,Homo sapiens (human)
C-X-C chemokine receptor type 1 (human),P25024,Homo sapiens (human)
C-X-C chemokine receptor type 2 (human),P25025,Homo sapiens (human)
Alpha-1D adrenergic receptor (human),P25100,Homo sapiens (human)
Endothelin-1 receptor (human),P25101,Homo sapiens (human)
Substance-P receptor (human),P25103,Homo sapiens (human)
Platelet-activating factor receptor (human),P25105,Homo sapiens (human)
Neuropeptide Y receptor type 1 (human),P25929,Homo sapiens (human)
Amine oxidase [flavin-containing] B (human),P27338,Homo sapiens (human)
Mitogen-activated protein kinase 3 (human),P27361,Homo sapiens (human)
5-hydroxytryptamine receptor 2A (human),P28223,Homo sapiens (human)
5-hydroxytryptamine receptor 2C (human),P28335,Homo sapiens (human)
Mitogen-activated protein kinase 1 (human),P28482,Homo sapiens (human)
5-hydroxytryptamine receptor 1B (Norway rat),P28564,Rattus norvegicus (Norway rat)
Adenosine receptor A2a (human),P29274,Homo sapiens (human)
Caspase-1 (human),P29466,Homo sapiens (human)
Nitric oxide synthase 1 (Norway rat),P29476,Rattus norvegicus (Norway rat)
"Nitric oxide synthase, inducible (house mouse)",P29477,Mus musculus (house mouse)
Non-receptor tyrosine-protein kinase TYK2 (human),P29597,Homo sapiens (human)
B2 bradykinin receptor (human),P30411,Homo sapiens (human)
Vasopressin V2 receptor (human),P30518,Homo sapiens (human)
Adenosine receptor A1 (human),P30542,Homo sapiens (human)
Type-1 angiotensin II receptor (human),P30556,Homo sapiens (human)
Calcitonin receptor (human),P30988,Homo sapiens (human)
Neurotensin receptor type 1 (human),P30989,Homo sapiens (human)
Sodium-dependent serotonin transporter (human),P31645,Homo sapiens (human)
RAC-alpha serine/threonine-protein kinase (human),P31749,Homo sapiens (human)
Bifunctional purine biosynthesis protein ATIC (human),P31939,Homo sapiens (human)
Cholecystokinin receptor type A (human),P32238,Homo sapiens (human)
Gastrin/cholecystokinin type B receptor (human),P32239,Homo sapiens (human)
Vasoactive intestinal polypeptide receptor 1 (human),P32241,Homo sapiens (human)
Melanocortin receptor 4 (human),P32245,Homo sapiens (human)
Melanocortin receptor 5 (human),P33032,Homo sapiens (human)
Cytochrome P450 2C19 (human),P33261,Homo sapiens (human)
Multidrug resistance-associated protein 1 (human),P33527,Homo sapiens (human)
"Serine hydroxymethyltransferase, cytosolic (human)",P34896,Homo sapiens (human)
"Serine hydroxymethyltransferase, mitochondrial (human)",P34897,Homo sapiens (human)
Thyrotropin-releasing hormone receptor (human),P34981,Homo sapiens (human)
Corticotropin-releasing factor receptor 1 (human),P34998,Homo sapiens (human)
Alpha-1A adrenergic receptor (human),P35348,Homo sapiens (human)
Prostaglandin G/H synthase 2 (human),P35354,Homo sapiens (human)
Histamine H1 receptor (human),P35367,Homo sapiens (human)
Mu-type opioid receptor (human),P35372,Homo sapiens (human)
"Glutamate receptor ionotropic, NMDA 1 (Norway rat)",P35439,Rattus norvegicus (Norway rat)
D(3) dopamine receptor (human),P35462,Homo sapiens (human)
RNA-binding protein FUS (human),P35637,Homo sapiens (human)
Phospholipid hydroperoxide glutathione peroxidase GPX4 (human),P36969,Homo sapiens (human)
Vasopressin V1a receptor (human),P37288,Homo sapiens (human)
Alpha-synuclein (human),P37840,Homo sapiens (human)
Breast cancer type 1 susceptibility protein (human),P38398,Homo sapiens (human)
Nicotinamide N-methyltransferase (human),P40261,Homo sapiens (human)
Delta-type opioid receptor (human),P41143,Homo sapiens (human)
Kappa-type opioid receptor (human),P41145,Homo sapiens (human)
Reduced folate transporter (human),P41440,Homo sapiens (human)
5-hydroxytryptamine receptor 2B (human),P41595,Homo sapiens (human)
C-C chemokine receptor type 2 (human),P41597,Homo sapiens (human)
Melanocortin receptor 3 (human),P41968,Homo sapiens (human)
Huntingtin (human),P42858,Homo sapiens (human)
Alpha-1A adrenergic receptor (Norway rat),P43140,Rattus norvegicus (Norway rat)
Tyrosine-protein kinase SYK (human),P43405,Homo sapiens (human)
Neuronal acetylcholine receptor subunit alpha-4 (human),P43681,Homo sapiens (human)
Thymidylate synthase (Norway rat),P45352,Rattus norvegicus (Norway rat)
5-hydroxytryptamine receptor 3A (human),P46098,Homo sapiens (human)
B1 bradykinin receptor (human),P46663,Homo sapiens (human)
Solute carrier organic anion transporter family member 1A1 (Norway rat),P46720,Rattus norvegicus (Norway rat)
Solute carrier organic anion transporter family member 1A2 (human),P46721,Homo sapiens (human)
Glucagon receptor (human),P47871,Homo sapiens (human)
Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (human),P48426,Homo sapiens (human)
Gastric inhibitory polypeptide receptor (human),P48546,Homo sapiens (human)
"Folylpolyglutamate synthase, mitochondrial (house mouse)",P48760,Mus musculus (house mouse)
Neuropeptide Y receptor type 2 (human),P49146,Homo sapiens (human)
Type-2 angiotensin II receptor (human),P50052,Homo sapiens (human)
Histamine N-methyltransferase (human),P50135,Homo sapiens (human)
5-hydroxytryptamine receptor 6 (human),P50406,Homo sapiens (human)
C-C chemokine receptor type 4 (human),P51679,Homo sapiens (human)
C-C chemokine receptor type 5 (human),P51681,Homo sapiens (human)
"6-phosphogluconate dehydrogenase, decarboxylating (human)",P52209,Homo sapiens (human)
Tyrosine-protein kinase JAK3 (human),P52333,Homo sapiens (human)
Monocarboxylate transporter 1 (Norway rat),P53987,Rattus norvegicus (Norway rat)
Caspase-7 (human),P55210,Homo sapiens (human)
Spike glycoprotein (Severe acute respiratory syndrome-related coronavirus),P59594,Severe acute respiratory syndrome-related coronavirus
Gamma-aminobutyric acid receptor subunit alpha-1 (Norway rat),P62813,Rattus norvegicus (Norway rat)
Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (human),P63092,Homo sapiens (human)
Solute carrier organic anion transporter family member 1A3 (Norway rat),P70502,Rattus norvegicus (Norway rat)
Inositol monophosphatase 1 (Norway rat),P97697,Rattus norvegicus (Norway rat)
Salicylate synthase (Mycobacterium tuberculosis CDC1551),P9WFX0,Mycobacterium tuberculosis CDC1551
Dihydrofolate reductase (Mycobacterium tuberculosis H37Rv),P9WNX1,Mycobacterium tuberculosis H37Rv
Heat shock factor protein 1 (human),Q00613,Homo sapiens (human)
Pteridine reductase 1 (Leishmania major),Q01782,Leishmania major
Sodium-dependent dopamine transporter (human),Q01959,Homo sapiens (human)
Voltage-dependent N-type calcium channel subunit alpha-1B (Norway rat),Q02294,Rattus norvegicus (Norway rat)
Parathyroid hormone/parathyroid hormone-related peptide receptor (human),Q03431,Homo sapiens (human)
"Folylpolyglutamate synthase, mitochondrial (human)",Q05932,Homo sapiens (human)
HTRA1 protein  (human),Q05DJ8,Homo sapiens (human)
Bifunctional dihydrofolate reductase-thymidylate synthase (Toxoplasma gondii),Q07422,Toxoplasma gondii
Peroxisome proliferator-activated receptor alpha (human),Q07869,Homo sapiens (human)
Protein phosphatase 3 catalytic subunit alpha (human),Q08209,Homo sapiens (human)
"3',5'-cyclic-AMP phosphodiesterase 4D (human)",Q08499,Homo sapiens (human)
Voltage-gated inwardly rectifying potassium channel KCNH2 (human),Q12809,Homo sapiens (human)
TAR DNA-binding protein 43 (human),Q13148,Homo sapiens (human)
Corticotropin-releasing factor receptor 2 (human),Q13324,Homo sapiens (human)
Guanidinoacetate N-methyltransferase (human),Q14353,Homo sapiens (human)
"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A (human)",Q14432,Homo sapiens (human)
Glycine N-methyltransferase (human),Q14749,Homo sapiens (human)
Protein disulfide-isomerase A6 (human),Q15084,Homo sapiens (human)
Mitogen-activated protein kinase 14 (human),Q16539,Homo sapiens (human)
Bifunctional dihydrofolate reductase-thymidylate synthase (Cryptosporidium parvum),Q27552,Cryptosporidium parvum
Bifunctional dihydrofolate reductase-thymidylate synthase (Trypanosoma brucei brucei),Q27783,Trypanosoma brucei brucei
Bifunctional dihydrofolate reductase-thymidylate synthase (Trypanosoma cruzi),Q27793,Trypanosoma cruzi
Solute carrier family 22 member 6 (human),Q4U2R8,Homo sapiens (human)
Solute carrier family 22 member 7 (Norway rat),Q5RLM2,Rattus norvegicus (Norway rat)
ATP-binding cassette sub-family C member 10 (human),Q5T3U5,Homo sapiens (human)
Mitogen-activated protein kinase 10 (house mouse),Q61831,Mus musculus (house mouse)
ATP-binding cassette sub-family C member 2 (Norway rat),Q63120,Rattus norvegicus (Norway rat)
Prostaglandin G/H synthase 1 (Norway rat),Q63921,Rattus norvegicus (Norway rat)
Trifunctional purine biosynthetic protein adenosine-3 (house mouse),Q64737,Mus musculus (house mouse)
Nuclear receptor subfamily 3 group C member 3  (cattle),Q690N0,Bos taurus (cattle)
Solute carrier family 22 member 20 (house mouse),Q80UJ1,Mus musculus (house mouse)
Dihydrofolate reductase  (Bacillus anthracis),Q81R22,Bacillus anthracis
Cyclic GMP-AMP synthase (house mouse),Q8C6L5,Mus musculus (house mouse)
Polyprotein P1234 (Chikungunya virus strain S27-African prototype),Q8JUX6,Chikungunya virus strain S27-African prototype
Cyclic GMP-AMP synthase (human),Q8N884,Homo sapiens (human)
Organic anion transporter 3 (human),Q8TCC7,Homo sapiens (human)
Alanine aminotransferase 2 (human),Q8TD30,Homo sapiens (human)
G-protein coupled receptor 151 (human),Q8TDV0,Homo sapiens (human)
Solute carrier family 22 member 6 (house mouse),Q8VC69,Mus musculus (house mouse)
Rap guanine nucleotide exchange factor 4 (human),Q8WZA2,Homo sapiens (human)
Dihydrofolate reductase (Norway rat),Q920D2,Rattus norvegicus (Norway rat)
Inositol hexakisphosphate kinase 1 (human),Q92551,Homo sapiens (human)
Ubiquitin carboxyl-terminal hydrolase BAP1 (human),Q92560,Homo sapiens (human)
Estrogen receptor beta (human),Q92731,Homo sapiens (human)
Growth hormone secretagogue receptor type 1 (human),Q92847,Homo sapiens (human)
ATP-binding cassette sub-family C member 2 (human),Q92887,Homo sapiens (human)
ATP-binding cassette sub-family C member 11 (human),Q96J66,Homo sapiens (human)
Proton-coupled folate transporter (human),Q96NT5,Homo sapiens (human)
Multidrug resistance associated protein (human),Q96QA9,Homo sapiens (human)
ATPase family AAA domain-containing protein 5 (human),Q96QE3,Homo sapiens (human)
Ataxin-2 (human),Q99700,Homo sapiens (human)
Methionine synthase (human),Q99707,Homo sapiens (human)
Sigma non-opioid intracellular receptor 1 (human),Q99720,Homo sapiens (human)
BRCA1-associated RING domain protein 1 (human),Q99728,Homo sapiens (human)
Equilibrative nucleoside transporter 1 (human),Q99808,Homo sapiens (human)
Phosphatidylinositol 4-kinase type 2-alpha (human),Q9BTU6,Homo sapiens (human)
N-terminal Xaa-Pro-Lys N-methyltransferase 1 (human),Q9BV86,Homo sapiens (human)
Single-stranded DNA cytosine deaminase (human),Q9GZX7,Homo sapiens (human)
Sialate O-acetylesterase (human),Q9HAT2,Homo sapiens (human)
Relaxin receptor 1 (human),Q9HBX9,Homo sapiens (human)
Solute carrier organic anion transporter family member 1B3 (human),Q9NPD5,Homo sapiens (human)
Sialin (human),Q9NRA2,Homo sapiens (human)
Solute carrier family 22 member 11 (human),Q9NSA0,Homo sapiens (human)
"NAD-dependent protein deacylase sirtuin-5, mitochondrial (human)",Q9NXA8,Homo sapiens (human)
Solute carrier organic anion transporter family member 1C1 (human),Q9NYB5,Homo sapiens (human)
Solute carrier organic anion transporter family member 1B2 (Norway rat),Q9QZX8,Rattus norvegicus (Norway rat)
Organic anion transporter 3 (Norway rat),Q9R1U7,Rattus norvegicus (Norway rat)
Solute carrier organic anion transporter family member 3A1 (human),Q9UIG8,Homo sapiens (human)
Protein-arginine deiminase type-4 (human),Q9UM07,Homo sapiens (human)
Broad substrate specificity ATP-binding cassette transporter ABCG2 (human),Q9UNQ0,Homo sapiens (human)
Cysteinyl leukotriene receptor 1 (human),Q9Y271,Homo sapiens (human)
Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (human),Q9Y3Z3,Homo sapiens (human)
Histamine H3 receptor (human),Q9Y5N1,Homo sapiens (human)
Solute carrier family 22 member 7 (human),Q9Y694,Homo sapiens (human)
Solute carrier organic anion transporter family member 1B1 (human),Q9Y6L6,Homo sapiens (human)
phosphoglycerate kinase (Trypanosoma brucei brucei TREU927),XP_001218773,Trypanosoma brucei brucei TREU927
mitogen-activated protein kinase 2 (Plasmodium falciparum 3D7),XP_001347818,Plasmodium falciparum 3D7
"HSP40, subfamily A [Plasmodium falciparum 3D7] (Plasmodium falciparum 3D7)",XP_001348533,Plasmodium falciparum 3D7
"heat shock protein 90, putative (Plasmodium falciparum 3D7)",XP_001348591,Plasmodium falciparum 3D7
calcium-dependent protein kinase 4 (Plasmodium falciparum 3D7),XP_001349078,Plasmodium falciparum 3D7
protein kinase 7 (Plasmodium falciparum 3D7),XP_001349639,Plasmodium falciparum 3D7
calcium-dependent protein kinase 1 (Plasmodium falciparum 3D7),XP_001349680,Plasmodium falciparum 3D7
L-lactate dehydrogenase (Plasmodium falciparum 3D7),XP_001349989,Plasmodium falciparum 3D7
protein kinase 6 (Plasmodium falciparum 3D7),XP_001350099,Plasmodium falciparum 3D7
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (Leishmania major strain Friedlin)",XP_001687258,Leishmania major strain Friedlin
hypothetical protein CAALFM_CR05890CA (Candida albicans SC5314),XP_711691,Candida albicans SC5314
likely tRNA 2'-phosphotransferase (Candida albicans SC5314),XP_717710,Candida albicans SC5314
H3 histone acetyltransferase (Candida albicans SC5314),XP_718648,Candida albicans SC5314
"methionyl-tRNA synthetase, putative (Trypanosoma brucei brucei TREU927)",XP_822407,Trypanosoma brucei brucei TREU927
ATP-dependent phosphofructokinase (Trypanosoma brucei brucei TREU927),XP_843920,Trypanosoma brucei brucei TREU927
enterobactin synthase subunit E (Acinetobacter baumannii ATCC 17978),YP_001085402,Acinetobacter baumannii ATCC 17978
toxin B (Clostridioides difficile 630),YP_001087135,Clostridioides difficile 630
ORF73 (Human gammaherpesvirus 8),YP_001129431,Human gammaherpesvirus 8
botulinum neurotoxin type A (Clostridium botulinum A str. ATCC 3502),YP_001253342,Clostridium botulinum A str. ATCC 3502
MarR family regulatory protein (Staphylococcus aureus subsp. aureus str. Newman),YP_001331689,Staphylococcus aureus subsp. aureus str. Newman
protein PvdQ (Pseudomonas aeruginosa LESB58),YP_002440506,Pseudomonas aeruginosa LESB58
large T antigen (Betapolyomavirus macacae),YP_003708382,Betapolyomavirus macacae
gamma-glutamyltranspeptidase (plasmid) (Bacillus anthracis str. 'Ames Ancestor'),YP_016573,Bacillus anthracis str. 'Ames Ancestor'
putative polyprotein (Crimean-Congo hemorrhagic fever orthonairovirus),YP_325663,Crimean-Congo hemorrhagic fever orthonairovirus
protein Zta (Epstein-Barr virus),YP_401673,human gammaherpesvirus 4 (Epstein-Barr virus)
"botulinum neurotoxin type F, BoNT/F (Clostridium botulinum Bf)",ZP_02619427,Clostridium botulinum Bf
PPM1D protein (human),AAH42418,Homo sapiens (human)
"FMDV polyprotein, partial (Foot-and-mouth disease virus)",AAA42670,Foot-and-mouth disease virus
"Chain A, Calcium and integrin-binding protein 1 (human)",2LM5_A,Homo sapiens (human)
,578162,
N-terminal Xaa-Pro-Lys N-methyltransferase 1 isoform a (human),NP_001273728,Homo sapiens (human)
cytochrome P450 2D6 (human),ANW61984,Homo sapiens (human)
"cytochrome P450 2C9, partial (human)",QLI62812,Homo sapiens (human)
"cytochrome P450, family 2, subfamily C, polypeptide 19 (human)",AAV41877,Homo sapiens (human)
cytochrome P450 family 2 subfamily C polypeptide 9 (human),AGS09764,Homo sapiens (human)
Dihydrofolate reductase  (rabbit),C1JLF0,Oryctolagus cuniculus (rabbit)
Thymidylate synthase  (Escherichia coli),C3SWJ7,Escherichia coli
Thymidylate synthase  (Escherichia coli LF82),E2QDN0,Escherichia coli LF82
Nuclear factor (erythroid-derived 2)-like 2 (human),AAH11558,Homo sapiens (human)
Gonadotropin-releasing hormone receptor (human),AAI13547,Homo sapiens (human)
KISS1 receptor (human),ACG60651,Homo sapiens (human)
5-hydroxytryptamine (serotonin) receptor 2A (human),AAH96839,Homo sapiens (human)
cAMP responsive element binding protein 1 (human),AAV38316,Homo sapiens (human)
tumor suppressor p53 (human),AFN61604,Homo sapiens (human)
cytochrome P450 3A7 (human),NP_000756,Homo sapiens (human)
cellular tumor antigen p53 isoform d (human),NP_001119587,Homo sapiens (human)
Protein deacetylase HDAC6 (human),Q9UBN7,Homo sapiens (human)
Botulinum neurotoxin type A (Clostridium botulinum),P0DPI0,Clostridium botulinum
Amine oxidase [flavin-containing] A (house mouse),Q64133,Mus musculus (house mouse)
Amine oxidase [flavin-containing] B (house mouse),Q8BW75,Mus musculus (house mouse)
"hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor) (human)",AAP88778,Homo sapiens (human)
hemoglobin subunit beta (human),NP_000509,Homo sapiens (human)
glutathione-S-transferase (Schistosoma japonicum),AAB03573,Schistosoma japonicum
cyclic AMP receptor protein (Vibrio cholerae O1 biovar El Tor str. N16961),AAF95755,Vibrio cholerae O1 biovar El Tor str. N16961
hypothetical protein VC_A0002 (Vibrio cholerae O1 biovar El Tor str. N16961),AAF95916,Vibrio cholerae O1 biovar El Tor str. N16961
Photinus pyralis luciferase (Shuttle vector pANFluc),ABM67533,Shuttle vector pANFluc
histone-lysine N-methyltransferase NSD2 isoform 1 (human),NP_001035889,Homo sapiens (human)
Tat (Human immunodeficiency virus 1),NP_057853,Human immunodeficiency virus 1
anion-binding protein (Staphylococcus aureus subsp. aureus Mu50),NP_371243,Staphylococcus aureus subsp. aureus Mu50
Glycoprotein hormones alpha chain (human),P01215,Homo sapiens (human)
"Pteridine reductase, putative  (Trypanosoma brucei brucei TREU927)",Q581W1,Trypanosoma brucei brucei TREU927
Bifunctional dihydrofolate reductase-thymidylate synthase (Trypanosoma brucei brucei TREU927),Q582G3,Trypanosoma brucei brucei TREU927
MULTISPECIES: oxygen response regulator transcription factor FixJ (Burkholderia),WP_006493245,Burkholderia
oxygen sensor histidine kinase FixL (Burkholderia dolosa),WP_045552426,Burkholderia dolosa
"Chain A, Autoinducer 2-binding periplasmic protein luxP (Vibrio harveyi)",1ZHH_A,Vibrio harveyi
"Chain B, Autoinducer 2 sensor kinase/phosphatase luxQ (Vibrio harveyi)",1ZHH_B,Vibrio harveyi
putative potassium channel subunit (human),AAA62473,Homo sapiens (human)
alternatively spliced Trp4 (house mouse),AAC05178,Mus musculus (house mouse)
dopamine transporter (human),AAC50179,Homo sapiens (human)
VEGF-C (house mouse),AAC52984,Mus musculus (house mouse)
Hsf1 protein (house mouse),AAH94064,Mus musculus (house mouse)
Neuropilin 2 (human),AAI43239,Homo sapiens (human)
autoinducer synthetase family protein (Burkholderia mallei ATCC 23344),AAU46702,Burkholderia mallei ATCC 23344
"LuxS, partial (Vibrio harveyi)",ABY84639,Vibrio harveyi
heat shock protein 90 (Candida albicans),CAA56931,Candida albicans
RAD51 (human),CAG38796,Homo sapiens (human)
"karyopherin alpha 2 (RAG cohort 1, importin alpha 1), isoform CRA_b (human)",EAW89041,Homo sapiens (human)
potassium voltage-gated channel subfamily KQT member 1 isoform 1 (human),NP_000209,Homo sapiens (human)
glycogen synthase kinase-3 beta isoform 1 (human),NP_002084,Homo sapiens (human)
calcium-activated potassium channel subunit alpha-1 isoform b (human),NP_002238,Homo sapiens (human)
calcium-activated potassium channel subunit beta-1 (human),NP_004128,Homo sapiens (human)
mitogen-activated protein kinase kinase kinase kinase 2 isoform 1 (human),NP_004570,Homo sapiens (human)
regulator of G-protein signaling 4 isoform 2 (human),NP_005604,Homo sapiens (human)
calcium-activated potassium channel subunit beta-2 (human),NP_005823,Homo sapiens (human)
CAAX prenyl protease (Saccharomyces cerevisiae S288C),NP_014001,Saccharomyces cerevisiae S288C
inward rectifier potassium channel 2 (house mouse),NP_032451,Mus musculus (house mouse)
short transient receptor potential channel 6 isoform 1 (house mouse),NP_038866,Mus musculus (house mouse)
potassium channel subfamily K member 9 (human),NP_057685,Homo sapiens (human)
voltage-dependent T-type calcium channel subunit alpha-1H isoform a (human),NP_066921,Homo sapiens (human)
bifunctional UDP-N-acetylglucosamine pyrophosphorylase/glucosamine-1-phosphate N-acetyltransferase (Mycobacterium tuberculosis H37Rv),NP_215534,Mycobacterium tuberculosis H37Rv
recombinase A (Mycobacterium tuberculosis H37Rv),NP_217253,Mycobacterium tuberculosis H37Rv
streptokinase A precursor (Streptococcus pyogenes M1 GAS),NP_269944,Streptococcus pyogenes M1 GAS
potassium voltage-gated channel subfamily KQT member 2 (Norway rat),NP_579856,Rattus norvegicus (Norway rat)
mitogen-activated protein kinase kinase kinase 3 isoform 1 (human),NP_976226,Homo sapiens (human)
Transmembrane GTPase fzo-1 (Caenorhabditis elegans),Q23424,Caenorhabditis elegans
Leucine-rich repeat-containing protein 26 (human),Q2I0M4,Homo sapiens (human)
Zinc finger protein mex-5 (Caenorhabditis elegans),Q9XUB2,Caenorhabditis elegans
chaperonin-containing TCP-1 beta subunit homolog (human),AAC98906,Homo sapiens (human)
thioredoxin glutathione reductase (Schistosoma mansoni),AAK85233,Schistosoma mansoni
bromodomain adjacent to zinc finger domain 2B (human),BAA89212,Homo sapiens (human)
P53 (human),BAC16799,Homo sapiens (human)
serine-protein kinase ATM isoform a (human),NP_000042,Homo sapiens (human)
lethal(3)malignant brain tumor-like protein 1 isoform I (human),NP_056293,Homo sapiens (human)
relaxin receptor 1 isoform 1 (human),NP_067647,Homo sapiens (human)
ORF1ab polyprotein (SARS coronavirus Tor2),NP_828849,SARS coronavirus Tor2
"Chain A, Dihydrofolate reductase (Bacillus anthracis str. Sterne)",2QK8_A,Bacillus anthracis str. Sterne
"Chain A, Dihydrofolate reductase (human)",3EIG_A,Homo sapiens (human)
"Chain A, Anti-Methotrexate CDR1-3 Graft VHH (llama)",3QXT_A,Lama glama (llama)
"Chain A, Anti-Methotrexate CDR1-4 Graft VHH (llama)",3QXV_A,Lama glama (llama)
72 kDa type IV collagenase (human),P08253,Homo sapiens (human)
Matrilysin (human),P09237,Homo sapiens (human)
Matrix metalloproteinase-14 (human),P50281,Homo sapiens (human)
Bifunctional purine biosynthesis protein ATIC (house mouse),Q9CWJ9,Mus musculus (house mouse)
Glutamate carboxypeptidase 2 (Norway rat),P70627,Rattus norvegicus (Norway rat)
Dihydrofolate reductase (Streptococcus pneumoniae TIGR4),Q54801,Streptococcus pneumoniae TIGR4
"Chain A, Glutamate carboxypeptidase 2 (human)",3BI1_A,Homo sapiens (human)
Xaa-Pro dipeptidase (human),P12955,Homo sapiens (human)
Amine oxidase [flavin-containing] A (cattle),P21398,Bos taurus (cattle)
Amine oxidase [flavin-containing] B (cattle),P56560,Bos taurus (cattle)
