protid,Protein_Accession,Taxonomy
DNA dC->dU-editing enzyme APOBEC-3A isoform a (human),NP_663745,Homo sapiens (human)
heat shock cognate 71 kDa protein isoform 2 (human),NP_694881,Homo sapiens (human)
lamin isoform A-delta10 (human),NP_733822,Homo sapiens (human)
Protein skinhead-1 (Caenorhabditis elegans),NP_741406,Caenorhabditis elegans
5-hydroxytryptamine receptor 2A (house mouse),NP_766400,Mus musculus (house mouse)
nuclear receptor subfamily 4 group A member 1 isoform 1 (human),NP_775180,Homo sapiens (human)
intestinal-type alkaline phosphatase precursor (cattle),NP_776412,Bos taurus (cattle)
14-3-3 protein zeta/delta (cattle),NP_777239,Bos taurus (cattle)
YopH (plasmid) (Yersinia enterocolitica),NP_783699,Yersinia enterocolitica
tubulin beta chain isoform b (human),NP_821133,Homo sapiens (human)
ORF1ab polyprotein (SARS coronavirus Tor2),NP_828849,SARS coronavirus Tor2
anoctamin-1 isoform 1 (house mouse),NP_848757,Mus musculus (house mouse)
microtubule-associated proteins 1A/1B light chain 3A isoform b (human),NP_852610,Homo sapiens (human)
nuclear receptor coactivator 3 isoform a (human),NP_858045,Homo sapiens (human)
"transient receptor potential cation channel, subfamily N, member 1 (zebrafish)",NP_899192,Danio rerio (zebrafish)
mitogen-activated protein kinase kinase kinase 3 isoform 1 (human),NP_976226,Homo sapiens (human)
kelch-like ECH-associated protein 1 (human),NP_987096,Homo sapiens (human)
neuropeptide S receptor isoform A (human),NP_997055,Homo sapiens (human)
cAMP-dependent protein kinase catalytic subunit beta isoform 3 (human),NP_997461,Homo sapiens (human)
Polyunsaturated fatty acid lipoxygenase ALOX15B (human),O15296,Homo sapiens (human)
Toll-like receptor 3 (human),O15455,Homo sapiens (human)
Galanin receptor type 2 (human),O43603,Homo sapiens (human)
PglD  (Campylobacter jejuni),O86157,Campylobacter jejuni
Rap guanine nucleotide exchange factor 3 (human),O95398,Homo sapiens (human)
Coagulation factor XII (human),P00748,Homo sapiens (human)
Glycoprotein hormones alpha chain (human),P01215,Homo sapiens (human)
Lysosomal acid glucosylceramidase (human),P04062,Homo sapiens (human)
Amyloid-beta precursor protein (human),P05067,Homo sapiens (human)
Muscarinic acetylcholine receptor M1 (Norway rat),P08482,Rattus norvegicus (Norway rat)
Guanine nucleotide-binding protein G(i) subunit alpha-3 (Norway rat),P08753,Rattus norvegicus (Norway rat)
tRNA threonylcarbamoyladenosine biosynthesis protein TsaE (Escherichia coli K-12),P0AF67,Escherichia coli K-12
Apoptosis regulator Bcl-2 (human),P10415,Homo sapiens (human)
Polyunsaturated fatty acid lipoxygenase ALOX12 (human),P18054,Homo sapiens (human)
Low molecular weight phosphotyrosine protein phosphatase (human),P24666,Homo sapiens (human)
5-hydroxytryptamine receptor 1E (human),P28566,Homo sapiens (human)
RAC-alpha serine/threonine-protein kinase (human),P31749,Homo sapiens (human)
Nuclear receptor ROR-alpha (human),P35398,Homo sapiens (human)
RNA-binding protein FUS (human),P35637,Homo sapiens (human)
Alpha-synuclein (human),P37840,Homo sapiens (human)
Huntingtin (human),P42858,Homo sapiens (human)
Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (human),P48426,Homo sapiens (human)
Mitogen-activated protein kinase 10 (human),P53779,Homo sapiens (human)
Ephrin type-B receptor 4 (human),P54760,Homo sapiens (human)
Caspase-7 (human),P55210,Homo sapiens (human)
Ras-related protein Rab-2A (dog),P61105,Canis lupus familiaris (dog)
Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (human),P63092,Homo sapiens (human)
Inositol monophosphatase 1 (Norway rat),P97697,Rattus norvegicus (Norway rat)
Salicylate synthase (Mycobacterium tuberculosis CDC1551),P9WFX0,Mycobacterium tuberculosis CDC1551
Focal adhesion kinase 1 (human),Q05397,Homo sapiens (human)
HTRA1 protein  (human),Q05DJ8,Homo sapiens (human)
TAR DNA-binding protein 43 (human),Q13148,Homo sapiens (human)
Rap guanine nucleotide exchange factor 4 (human),Q8WZA2,Homo sapiens (human)
Ubiquitin carboxyl-terminal hydrolase BAP1 (human),Q92560,Homo sapiens (human)
Ataxin-2 (human),Q99700,Homo sapiens (human)
Phosphatidylinositol 4-kinase type 2-alpha (human),Q9BTU6,Homo sapiens (human)
Sialate O-acetylesterase (human),Q9HAT2,Homo sapiens (human)
Relaxin receptor 1 (human),Q9HBX9,Homo sapiens (human)
Bcl-2-like protein 10 (human),Q9HD36,Homo sapiens (human)
Zinc finger protein mex-5 (Caenorhabditis elegans),Q9XUB2,Caenorhabditis elegans
phosphoglycerate kinase (Trypanosoma brucei brucei TREU927),XP_001218773,Trypanosoma brucei brucei TREU927
"HSP40, subfamily A [Plasmodium falciparum 3D7] (Plasmodium falciparum 3D7)",XP_001348533,Plasmodium falciparum 3D7
"heat shock protein 90, putative (Plasmodium falciparum 3D7)",XP_001348591,Plasmodium falciparum 3D7
M17 leucyl aminopeptidase (Plasmodium falciparum 3D7),XP_001348613,Plasmodium falciparum 3D7
M1-family alanyl aminopeptidase (Plasmodium falciparum 3D7),XP_001349846,Plasmodium falciparum 3D7
hypothetical protein CAALFM_CR05890CA (Candida albicans SC5314),XP_711691,Candida albicans SC5314
likely tRNA 2'-phosphotransferase (Candida albicans SC5314),XP_717710,Candida albicans SC5314
H3 histone acetyltransferase (Candida albicans SC5314),XP_718648,Candida albicans SC5314
"methionyl-tRNA synthetase, putative (Trypanosoma brucei brucei TREU927)",XP_822407,Trypanosoma brucei brucei TREU927
ATP-dependent phosphofructokinase (Trypanosoma brucei brucei TREU927),XP_843920,Trypanosoma brucei brucei TREU927
ORF73 (Human gammaherpesvirus 8),YP_001129431,Human gammaherpesvirus 8
BZLF2 (Epstein-Barr virus type 2),YP_001129466,Human herpesvirus 4 type 2 (Epstein-Barr virus type 2)
botulinum neurotoxin type A (Clostridium botulinum A str. ATCC 3502),YP_001253342,Clostridium botulinum A str. ATCC 3502
replicative DNA helicase (Staphylococcus aureus subsp. aureus JH1),YP_001315171,Staphylococcus aureus subsp. aureus JH1
MarR family regulatory protein (Staphylococcus aureus subsp. aureus str. Newman),YP_001331689,Staphylococcus aureus subsp. aureus str. Newman
protein PvdQ (Pseudomonas aeruginosa LESB58),YP_002440506,Pseudomonas aeruginosa LESB58
large T antigen (Betapolyomavirus macacae),YP_003708382,Betapolyomavirus macacae
gamma-glutamyltranspeptidase (plasmid) (Bacillus anthracis str. 'Ames Ancestor'),YP_016573,Bacillus anthracis str. 'Ames Ancestor'
putative polyprotein (Crimean-Congo hemorrhagic fever orthonairovirus),YP_325663,Crimean-Congo hemorrhagic fever orthonairovirus
protein Zta (Epstein-Barr virus),YP_401673,human gammaherpesvirus 4 (Epstein-Barr virus)
mevalonate kinase (Streptococcus pneumoniae D39),YP_815859,Streptococcus pneumoniae D39
"botulinum neurotoxin type F, BoNT/F (Clostridium botulinum Bf)",ZP_02619427,Clostridium botulinum Bf
"FMDV polyprotein, partial (Foot-and-mouth disease virus)",AAA42670,Foot-and-mouth disease virus
,578162,
PAX8 (human),AAB34216,Homo sapiens (human)
glycosyl-phosphatidylinositol protein (Candida albicans),AAG29538,Candida albicans
electroneutral potassium-chloride cotransporter KCC2 (human),AAG43493,Homo sapiens (human)
ERAP1 protein (human),AAH30775,Homo sapiens (human)
"Potassium inwardly-rectifying channel, subfamily J, member 1 (human)",AAI36361,Homo sapiens (human)
cystic fibrosis transmembrane conductance regulator ATP-binding cassette sub-family C member 7 (human),ABD72211,Homo sapiens (human)
"S100A4, partial (human)",CAG29341,Homo sapiens (human)
E-selectin precursor (human),NP_000441,Homo sapiens (human)
catenin beta-1 isoform 1 (human),NP_001895,Homo sapiens (human)
protein AF-9 isoform a (human),NP_004520,Homo sapiens (human)
fibroblast growth factor 22 isoform 1 precursor (human),NP_065688,Homo sapiens (human)
dTDP-4-dehydrorhamnose reductase (Mycobacterium tuberculosis H37Rv),NP_217783,Mycobacterium tuberculosis H37Rv
"dTDP-4-dehydrorhamnose 3,5-epimerase (Mycobacterium tuberculosis H37Rv)",NP_217982,Mycobacterium tuberculosis H37Rv
DNA repair protein RAD52 homolog isoform a (human),NP_602296,Homo sapiens (human)
Protein disulfide-isomerase A6 (human),Q15084,Homo sapiens (human)
"NAD-dependent protein deacylase sirtuin-5, mitochondrial (human)",Q9NXA8,Homo sapiens (human)
toxin B (Clostridioides difficile 630),YP_001087135,Clostridioides difficile 630
transcriptional coactivator YAP1 isoform 1 (human),NP_001123617,Homo sapiens (human)
microphthalmia-associated transcription factor isoform 9 (human),NP_001341533,Homo sapiens (human)
ephrin type-A receptor 4 precursor (house mouse),NP_031962,Mus musculus (house mouse)
G-protein coupled receptor 151 (human),Q8TDV0,Homo sapiens (human)
"Caspase 6, apoptosis-related cysteine peptidase (human)",AAH04460,Homo sapiens (human)
"RNA-editing ligase 1, mitochondrial (Trypanosoma brucei brucei)",P86926,Trypanosoma brucei brucei
Photinus pyralis luciferase (Shuttle vector pANFluc),ABM67533,Shuttle vector pANFluc
transactivating tegument protein VP16 [Human herpesvirus 1] (Herpes simplex virus type 1),NP_044650,Human alphaherpesvirus 1 (Herpes simplex virus type 1)
TTR (human),CAG33189,Homo sapiens (human)
autoinducer synthetase family protein (Burkholderia mallei ATCC 23344),AAU46702,Burkholderia mallei ATCC 23344
enterobactin synthase subunit E (Acinetobacter baumannii ATCC 17978),YP_001085402,Acinetobacter baumannii ATCC 17978
"Chain A, RIBONUCLEASE H (Human immunodeficiency virus 1)",1O1W_A,Human immunodeficiency virus 1
Cyclic GMP-AMP synthase (house mouse),Q8C6L5,Mus musculus (house mouse)
Cyclic GMP-AMP synthase (human),Q8N884,Homo sapiens (human)
